"At the end of the night, the venue smelled like _.",1
I knew he/she was creepy when _.,1
I really hope the picture of me _ doesn't show up in the facebook photo album.,1
Mambo is a dance. Salsa is a _.,1
My dancing would really improve if I worked on two things: my connection and _.,1
Old- and new-school dancers alike were surprised with the success of the _ room at our Friday night dance.,1
"Please be warned, altitude sickness will lead to _, _, and _.",3
The _ Dance Exchange,1
The best way to check someone off your dance card is _.,1
"The last time I _, I was _ all night long.",2
The old argument of “Hollywood” vs. “Savoy” is mirrored in the real world by “_” vs. “_.”,2
"This year at fusion exchange, we are offering _ at the low price of a dollar a minute.",1
"Today at fusion exchange, I learned _.",1
Wanna dance? I've been taking _.,1
"When I am too tired to keep dancing, I like to _.",1
"When I hear someone say they really only dance fusion, I think _.",1
"When I wake up after dancing till 5AM, I wish _.",1
Why did the fusion exchanges end?,1
