"As a Youth Development Volunteer, I spent all day teaching children about _.",1
"Due to an ""incident"" our next safety and security training will be on _.",1
How do you explain _ to your friends back home?,1
I joined the Peace Corps for _ but all I got was _.,2
I just won a Small Project Assistance grant to bring _ to _.,2
My training didn't prepare me for _.,1
The only thing more rewarding than _ is _.,2
The secret to getting your adopted African street dog back into the United States is _.,1
"The title of my Peace Corps memoir will be ""_.""",1
"Today at the village school, we're painting a mural of _.",1
