_ would be woefully incomplete without _.,2
A remarkable new study has shown that chimps have evolved their own primitive version of _.,1
"After months of debate, the Occupy Wall Street General Assembly could only agree on ""More _!""",1
"Before _, all we had was _.",2
"Before I run for president, I must destroy all evidence of my involvement with _.",1
Charades was ruined for me forever when my mom had to act out _.,1
"During his midlife crisis, my dad got really into _.",1
Everyone down on the ground! We don't want to hurt anyone. We're just here for _.,1
"I spent my whole life working toward _, only to have it ruined by _.",2
"I went from _ to _, all thanks to _.",3
"If God didn't want us to enjoy _, he wouldn't have given us _.",2
"In his newest and most difficult stunt, David Blaine must escape from _.",1
"Little Miss Muffet Sat on a tuffet, Eating her curds and _.",1
Members of New York's social elite are paying thousands of dollars just to experience _.,1
"My country, 'tis of thee, sweet land of _.",1
My mom freaked out when she looked at my browser history and found _.com/_.,2
"My new favorite porn star is Joey ""_"" McGee.",1
Next time on Dr. Phil: How to talk to your child about _.,1
Only two things in life are certain: death and _.,1
"The Five Stages of Grief: denial, anger, bargaining, _, acceptance.",1
The healing process began when I joined a support group for victims of _.,1
"The votes are in, and the new high school mascot is _.",1
This is your captain speaking. Fasten your seatbelts and prepare for _.,1
"This month's Cosmo: ""Spice up your sex life by bringing _ into the bedroom.""",1
Tonight on 20/20: What you don't know about _ could kill you.,1
"What's harshing my mellow, man?",1
You haven't truly lived until you've experienced _ and _ at the same time.,2
"Your persistence is admirable, my dear Prince. But you cannot win my heart with _ alone.",1
