"_, the newest My Little Pony character.",1
"Ah, High School. A place for _ and _.",2
Hello! Do you have a moment to talk about our lord and savior _.,1
Hypothesis: _<br>Experiment: _<br>Conclusion: _,3
I get to pick a porn name? Then I want to be called _.,1
I was caught naked eating _.,1
I'm too rich and famous for _.,1
My strangest date ever involved _.,1
Nobody seems to understand my religious philosophy at all. Especially the part about _.,1
"Screw the rules, I have _.",1
Sometimes I think about having sex with _.,1
"The beloved leader, Kim Jong Un, astounds his people with the invention of _.",1
Using _ is my secret beauty tip.,1
What does Obama like on his chips?,1
"When the stripper bent over and placed my nose squarely between her cheeks, it smelled like cotton candy and _?",1
